age,job,marital,education,default,housing,loan,contact,month,day_of_week,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,was_contacted_before,never_contacted_before,previously_successful,has_any_loan,is_married,is_weekday_mon_thu,actual,predicted,propensity_score
92,retired,married,unknown,no,yes,no,cellular,may,thu,1,6,2,success,-1.8,93.876,-40.0,0.683,5008.7,1,0,1,1,1,1,0,1,0.9878072656534193
76,retired,married,basic.4y,no,yes,no,cellular,may,fri,2,6,2,success,-1.8,93.876,-40.0,0.684,5008.7,1,0,1,1,1,0,1,1,0.9874295120706745
48,unemployed,married,professional.course,no,yes,no,cellular,may,wed,1,6,2,success,-1.8,93.876,-40.0,0.682,5008.7,1,0,1,1,1,1,1,1,0.9848289775653432
66,admin.,divorced,university.degree,no,yes,no,cellular,aug,wed,3,6,2,success,-1.7,94.027,-38.3,0.903,4991.6,1,0,1,1,0,1,1,1,0.9805661617851151
78,retired,divorced,basic.4y,no,yes,no,cellular,may,fri,2,7,2,success,-1.8,93.876,-40.0,0.682,5008.7,1,0,1,1,0,0,0,1,0.9803880966310007
64,retired,married,university.degree,no,no,no,cellular,mar,fri,1,3,2,success,-1.8,93.369,-34.8,0.653,5008.7,1,0,1,0,1,0,0,1,0.9802043649734052
60,retired,married,university.degree,no,no,no,cellular,sep,thu,2,6,1,success,-1.1,94.199,-37.5,0.884,4963.6,1,0,1,0,1,1,1,1,0.9797083870822897
37,admin.,married,university.degree,no,no,no,cellular,sep,wed,2,6,2,success,-1.1,94.199,-37.5,0.886,4963.6,1,0,1,0,1,1,1,1,0.9793439410023568
52,management,married,university.degree,no,yes,no,cellular,may,fri,3,3,3,success,-1.8,93.876,-40.0,0.684,5008.7,1,0,1,1,1,0,1,1,0.9785630578671554
59,retired,married,professional.course,no,yes,no,cellular,aug,fri,2,3,2,success,-1.7,94.027,-38.3,0.905,4991.6,1,0,1,1,1,0,1,1,0.9782170298089322
34,admin.,single,university.degree,no,no,no,cellular,mar,tue,1,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,0,1,0,0,1,1,1,0.9779590817987586
33,admin.,married,university.degree,no,yes,no,cellular,aug,thu,1,3,3,success,-1.7,94.027,-38.3,0.899,4991.6,1,0,1,1,1,1,1,1,0.9771345993999551
92,retired,married,unknown,no,no,yes,cellular,aug,tue,1,3,1,success,-1.7,94.027,-38.3,0.904,4991.6,1,0,1,1,1,1,1,1,0.9759825155805282
41,unemployed,married,high.school,no,yes,yes,cellular,sep,wed,1,6,1,success,-1.1,94.199,-37.5,0.879,4963.6,1,0,1,1,1,1,1,1,0.9758574774983728
70,retired,divorced,basic.4y,no,no,no,cellular,jul,thu,2,6,2,success,-1.7,94.215,-40.3,0.846,4991.6,1,0,1,0,0,1,1,1,0.9750264241647295
83,retired,divorced,basic.4y,no,no,no,cellular,sep,thu,1,9,3,success,-1.1,94.199,-37.5,0.879,4963.6,1,0,1,0,0,1,1,1,0.9746317107101069
58,blue-collar,married,basic.4y,no,yes,no,cellular,aug,wed,1,3,1,success,-1.7,94.027,-38.3,0.9,4991.6,1,0,1,1,1,1,1,1,0.9736895875633311
52,admin.,married,university.degree,no,no,no,cellular,may,thu,1,3,2,success,-1.8,93.876,-40.0,0.677,5008.7,1,0,1,0,1,1,1,1,0.9732892993891185
47,management,married,university.degree,no,yes,no,cellular,aug,mon,3,3,2,success,-1.7,94.027,-38.3,0.904,4991.6,1,0,1,1,1,1,0,1,0.9732226400634272
50,admin.,single,university.degree,no,no,no,cellular,aug,tue,1,6,2,success,-1.7,94.027,-38.3,0.904,4991.6,1,0,1,0,0,1,1,1,0.9729635663905307
26,admin.,single,high.school,no,no,no,cellular,mar,tue,2,6,1,success,-1.8,93.369,-34.8,0.652,5008.7,1,0,1,0,0,1,1,1,0.9725420917759585
92,retired,married,unknown,no,no,yes,cellular,aug,wed,1,3,4,success,-1.7,94.027,-38.3,0.903,4991.6,1,0,1,1,1,1,1,1,0.9716293909718158
40,technician,married,professional.course,no,yes,no,cellular,may,wed,1,3,4,success,-1.8,93.876,-40.0,0.682,5008.7,1,0,1,1,1,1,1,1,0.9708751491839659
33,admin.,married,university.degree,no,yes,no,cellular,nov,tue,2,3,1,success,-3.4,92.649,-30.1,0.715,5017.5,1,0,1,1,1,1,1,1,0.9694095622911267
52,technician,married,university.degree,no,no,no,cellular,may,thu,1,3,4,success,-1.8,93.876,-40.0,0.677,5008.7,1,0,1,0,1,1,1,1,0.968165383076982
42,technician,married,professional.course,no,no,no,cellular,aug,thu,1,6,2,success,-1.7,94.027,-38.3,0.899,4991.6,1,0,1,0,1,1,1,1,0.9680131517286706
34,admin.,single,university.degree,no,no,no,cellular,nov,thu,1,7,2,success,-3.4,92.649,-30.1,0.714,5017.5,1,0,1,0,0,1,1,1,0.9678686287607832
37,admin.,single,high.school,no,no,no,cellular,mar,wed,2,4,2,success,-1.8,93.369,-34.8,0.655,5008.7,1,0,1,0,0,1,1,1,0.967708421041097
24,student,single,high.school,no,yes,yes,cellular,sep,wed,2,6,2,success,-1.1,94.199,-37.5,0.876,4963.6,1,0,1,1,0,1,1,1,0.9669682411819863
23,student,single,professional.course,no,yes,no,cellular,sep,wed,1,8,2,success,-1.1,94.199,-37.5,0.876,4963.6,1,0,1,1,0,1,1,1,0.9655661357280065
52,management,married,university.degree,no,no,no,cellular,may,fri,2,9,1,success,-1.8,93.876,-40.0,0.684,5008.7,1,0,1,0,1,0,1,1,0.9653582035988029
29,admin.,single,high.school,no,yes,no,cellular,sep,thu,1,6,2,success,-1.1,94.199,-37.5,0.879,4963.6,1,0,1,1,0,1,1,1,0.9649723769481318
48,admin.,divorced,high.school,no,no,no,cellular,jun,wed,1,6,1,success,-1.7,94.055,-39.8,0.704,4991.6,1,0,1,0,0,1,1,1,0.9637197386966849
78,retired,married,unknown,no,no,no,cellular,mar,thu,1,6,2,success,-1.8,93.369,-34.8,0.635,5008.7,1,0,1,0,1,1,1,1,0.9628545673735958
68,retired,divorced,high.school,no,yes,yes,cellular,jul,wed,1,3,1,success,-1.7,94.215,-40.3,0.896,4991.6,1,0,1,1,0,1,1,1,0.9627456792376314
80,retired,divorced,basic.4y,no,yes,yes,cellular,apr,thu,1,10,2,success,-1.8,93.749,-34.6,0.644,5008.7,1,0,1,1,0,1,1,1,0.9623984324449698
33,admin.,married,university.degree,no,yes,no,cellular,nov,tue,2,3,3,success,-3.4,92.649,-30.1,0.715,5017.5,1,0,1,1,1,1,1,1,0.9620256695821264
21,student,single,basic.9y,no,no,no,cellular,mar,wed,1,6,1,success,-1.8,93.369,-34.8,0.655,5008.7,1,0,1,0,0,1,1,1,0.9620123267356615
33,admin.,married,university.degree,no,yes,no,cellular,may,mon,1,3,2,success,-1.8,93.876,-40.0,0.685,5008.7,1,0,1,1,1,1,1,1,0.9616257262600173
32,admin.,single,university.degree,no,yes,no,cellular,jul,thu,2,6,1,success,-1.7,94.215,-40.3,0.846,4991.6,1,0,1,1,0,1,0,1,0.9613263761685612
36,admin.,single,university.degree,no,no,no,cellular,jun,wed,1,7,1,success,-1.7,94.055,-39.8,0.739,4991.6,1,0,1,0,0,1,1,1,0.960412935537083
20,student,single,basic.9y,no,yes,no,cellular,jul,thu,3,6,3,success,-1.7,94.215,-40.3,0.846,4991.6,1,0,1,1,0,1,1,1,0.9595418366418085
20,student,single,unknown,no,no,no,cellular,may,tue,2,3,5,success,-1.8,93.876,-40.0,0.697,5008.7,1,0,1,0,0,1,1,1,0.9585369795215647
48,admin.,married,university.degree,no,yes,yes,cellular,aug,wed,1,0,3,success,-1.7,94.027,-38.3,0.9,4991.6,1,0,1,1,1,1,1,1,0.9584687261341063
33,admin.,single,university.degree,no,yes,no,cellular,apr,thu,1,7,2,success,-1.8,93.749,-34.6,0.635,5008.7,1,0,1,1,0,1,1,1,0.9577581976348704
