threshold,accuracy,precision,recall,f1,predicted_positives
0.4,0.8223065250379362,0.34579439252336447,0.6482479784366577,0.4510079699953118,1391
0.45,0.850834597875569,0.3965665236051502,0.6226415094339622,0.4845306764551652,1165
0.5,0.864339908952959,0.4273422562141491,0.6024258760107817,0.5,1046
0.55,0.8737481031866464,0.4527310924369748,0.5808625336927223,0.5088547815820543,952
0.6,0.8795144157814871,0.46997690531177827,0.5485175202156334,0.5062189054726368,866
0.65,0.8874051593323217,0.5,0.5161725067385444,0.5079575596816976,766
0.7,0.8918057663125949,0.5229793977812995,0.444743935309973,0.4806991988346686,631
0.75,0.898937784522003,0.5829694323144105,0.35983827493261455,0.445,458
0.8,0.8996965098634294,0.6310679611650486,0.2628032345013477,0.37107516650808753,309
0.85,0.8987860394537177,0.694300518134715,0.18059299191374664,0.28663101604278074,193
0.9,0.8963581183611533,0.7251908396946565,0.1280323450134771,0.21764032073310424,131
